Level1	Level2	Level3	SEED_Function	P08	S19	P18	C08	S04
Amino Acids and Derivatives	-	Amino acid racemase	2-methylaconitate_cis-trans_isomerase	0	2.688888889	0	0.2	2
Amino Acids and Derivatives	-	Amino acid racemase	2-methylaconitate_isomerase	0	0.822222222	0.666666667	0	0.2
Amino Acids and Derivatives	-	Amino acid racemase	2-methylcitrate_dehydratase_(2-methyl-trans-aconitate_forming)_(EC_4.2.1.117)	0	0.866666667	0.333333333	0	0.166666667
Amino Acids and Derivatives	-	Amino acid racemase	2-methylcitrate_dehydratase_FeS_dependent_(EC_4.2.1.79)	1	0.533333333	0.666666667	0	0.366666667
Amino Acids and Derivatives	-	Amino acid racemase	4-hydroxyproline_epimerase_(EC_5.1.1.8)	4	4	0	1.5	2.833333333
Amino Acids and Derivatives	-	Amino acid racemase	4-oxalomesaconate_tautomerase_(EC_5.3.2.8)	0	0	0.25	0	0
Amino Acids and Derivatives	-	Amino acid racemase	Alanine_racemase_(EC_5.1.1.1)	0	0.5	1.333333333	0.333333333	0.25
Amino Acids and Derivatives	-	Amino acid racemase	Alanine_racemase_(EC_5.1.1.1)_##_biosynthetic	1.091269841	1.458333333	0.666666667	1.644444444	1.85
Amino Acids and Derivatives	-	Amino acid racemase	Alanine_racemase_(EC_5.1.1.1)_##_catabolic	2.142857143	0	1.666666667	0.333333333	0.916666667
Amino Acids and Derivatives	-	Amino acid racemase	Arginine_racemase_(EC_5.1.1.9)_@_Lysine_racemase_(EC_5.1.1.5)_@_Ornithine_racemase_(EC_5.1.1.12)	0	1	0	0	0
Amino Acids and Derivatives	-	Amino acid racemase	Diaminopimelate_epimerase_(EC_5.1.1.7)	1.833333333	0.2	1.5	0.583333333	1.396480331
Amino Acids and Derivatives	-	Amino acid racemase	Glutamate_racemase_(EC_5.1.1.3)	1.116666667	0.583333333	1.733333333	0	2.20952381
Amino Acids and Derivatives	-	Amino acid racemase	"Not_a_Proline_racemase,_nor_4-hydroxyproline_epimerase_[missing_catalytic_residues]"	0.5	1	0	0	0.5
Amino Acids and Derivatives	-	Amino acid racemase	trans-L-3-hydroxyproline_dehydratase_(EC_4.2.1.77)	0	1	0	0	0
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	Creatinase_(EC_3.5.3.3)	1	0	5	2	2
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	Creatinine_amidohydrolase_(EC_3.5.2.10)	0	0	0	0	1
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	Cytosine_deaminase_(EC_3.5.4.1)	3.4	3.166666667	1.858333333	3.18115942	5.779166667
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	Cytosine_permease	2.2	9	0	2	11.66666667
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	Dimethylglycine_dehydrogenase_(EC_1.5.99.2)	2	0	5	2	5
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	Hydantoinase/oxoprolinase_family_protein	0	0.5	0	0	0
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	N-carbamoylsarcosine_amidase_(EC_3.5.1.59)	5	0	3	0	1
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	N-methylhydantoinase_(ATP-hydrolyzing)_(EC_3.5.2.14)	0	0	0.5	0	0.5
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	N-methylhydantoinase_A_(EC_3.5.2.14)	2	0	7	2.5	1
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	N-methylhydantoinase_B_(EC_3.5.2.14)	1.5	0.5	7	2.5	3.5
Amino Acids and Derivatives	-	Creatine and Creatinine Degradation	Sarcosine_dehydrogenase_(EC_1.5.99.1)	13	5	90	24	29
Amino Acids and Derivatives	-	L-2-amino-thiazoline-4-carboxylic acid-Lcysteine conversion	Beta-ureidopropionase_(EC_3.5.1.6)	3.333333333	2.166666667	4.833333333	0.333333333	3.25
Amino Acids and Derivatives	-	L-2-amino-thiazoline-4-carboxylic acid-Lcysteine conversion	L-2-amino-thiazoline-4-carboxylic_acid_hydrolase_(EC_3.5.2.-)	4	0	3	0	1
Amino Acids and Derivatives	-	L-2-amino-thiazoline-4-carboxylic acid-Lcysteine conversion	Putative_N-carbamyl-L-cysteine_amidohydrolase	0	0	1	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	"Alanine_racemase,_biosynthetic_(EC_5.1.1.1)"	0	1.625	1.166666667	0	0
